#,Theme,Paper,Citation,Year,Venue,DOI,Dataset,Input Representation,Model Architecture,SV Types,Sequencing Platform,Strengths,Weaknesses,Limitations,Research Gap
1,A,A universal SNP and small-indel variant caller using deep neural networks,Poplin et al. 2018,2018,Nature Biotechnology,10.1038/nbt.4235,"GIAB (HG001-007), 1000G",Pileup RGB image (read base/qual/strand channels),Inception-v2 CNN,"SNV, short indel",Illumina short-read; extended to PacBio/ONT,First image-based caller; state-of-art SNP accuracy; platform-transferable,Small indels only (<50 bp); heavy compute; fixed image window,Not designed for SVs; localized pileup cannot span long events,No SV support; static RGB encoding
2,A,DeepSV: accurate calling of genomic deletions from high-throughput sequencing data using deep convolutional neural network,Cai et al. 2019,2019,BMC Bioinformatics,10.1186/s12859-019-3299-y,"1000 Genomes Phase 3 (20 individuals, chr1-22)","Hand-crafted RGB pileup image; base color modulated by 4 binary signature bits (paired, discordant, mapQ>20, split)","Custom CNN (TensorFlow), 256x256 images",Long deletions (>50 bp),Illumina short-read (10x-60x),Extends image-calling to SVs; integrates depth+split+discordant in one image; strong precision vs 8 callers,Deletions only; k-means clustering candidate step is brittle; manual color scheme,Fixed 50 bp windows; single-scale; short-read only; no long-read/CNN-alternative,The whole DeepSV design space this project targets
3,A,Training Genotype Callers with Neural Networks,Torracinta & Campagne 2016,2016,bioRxiv (preprint),10.1101/097469,Simulated + GIAB,Read tensor,Feedforward/CNN,SNV genotype,Illumina,Early proof NN can learn genotype calling,Toy scope,No SV,No SV
4,A,Clairvoyante: a multi-task convolutional deep neural network for variant calling in Single Molecule Sequencing,Luo et al. 2018,2018,bioRxiv (preprint),10.1101/310458,GIAB HG001,Pileup summary tensor (base counts per position),Multi-task CNN,"SNV, indel",Illumina; PacBio; ONT,First multi-task NN caller across platforms; fast,Small variants only; tensor summary loses read-level detail,No SV; limited context window,No SV support
5,A,A multi-task convolutional deep neural network for variant calling in single molecule sequencing,Luo et al. 2019,2019,Nature Communications,10.1038/s41467-019-09025-z,"GIAB, single-molecule reads",Pileup summary tensor,Multi-task CNN (Clairvoyante),"SNV, indel","PacBio, ONT",Runs on noisy long reads; multi-task genotype output,<50 bp variants; summary tensor,No SV; limited receptive field,No SV support
6,A,Symphonizing pileup and full-alignment for deep learning-based long-read variant calling,Zheng et al. 2022,2022,Nature Computational Science,10.1038/s43588-022-00387-x,"GIAB, ONT/PacBio HiFi","Pileup + full-alignment representation, two-stage",Pyramid CNN (Clair3),"SNV, indel","ONT, PacBio HiFi, Illumina",SOTA long-read small-variant accuracy; combines pileup and full-alignment,Small variants; not SV-aware,Two representations hand-designed; no SV,No SV; representation still engineered
7,A,Haplotype-aware variant calling with PEPPER-Margin-DeepVariant enables high accuracy in nanopore long-reads,Shafin et al. 2021,2021,Nature Methods,10.1038/s41592-021-01299-w,"GIAB, ONT",Pileup image (DeepVariant) + haplotagging,RNN (PEPPER) + CNN (DeepVariant) + Margin,"SNV, indel",ONT,Haplotype-aware; nanopore small-variant SOTA in 2021,No SV; pipeline complexity,SV out of scope,No SV support
8,A,"Accurate, scalable cohort variant calls using DeepVariant and GLnexus",Yun et al. 2020,2020,Bioinformatics,10.1093/bioinformatics/btaa1081,GIAB cohorts,DeepVariant pileup + gVCF merge,CNN + GLnexus joint genotyping,"SNV, indel",Illumina,Scalable cohort joint calling,Small variants only,No SV,No SV support
9,A,DeNovoCNN: a deep learning approach to de novo variant calling in next generation sequencing data,Khazeeva et al. 2022,2022,Nucleic Acids Research,10.1093/nar/gkac511,In-house trios,Parent-child pileup images,CNN (DeNovoCNN),De novo SNV/indel,Illumina,Trio image encoding for de novo detection,Small variants; trio-specific,No SV; needs trios,Trio-conditioned SV calling unexplored
10,B,LSnet: detecting and genotyping deletions using deep learning network,Luo et al. 2023,2023,Frontiers in Genetics,10.3389/fgene.2023.1189775,"1000G, GIAB",Pileup-style image of alignment signals,CNN (LSnet),Deletions + genotyping,Illumina short-read,Short-read DEL detection + genotyping; DeepSV-like lineage,Deletions only; single-scale image,Fixed window; static encoding; CNN-only,Direct successor space to DeepSV: multi-scale/attention/learnable encoding
11,B,ResNet Combined with Attention Mechanism for Genomic Deletion Variant Prediction,Yang et al. 2024,2024,Automatic Control and Computer Sciences,10.3103/s0146411624700147,1000G deletion set,Pileup image (DeepSV-style),ResNet + attention module,Deletions,Illumina short-read,Adds attention + residual to image DEL calling,Deletions only; incremental over DeepSV,Still fixed RGB image; single-scale,Confirms attention helps but leaves encoding/multi-scale open
12,B,Automated filtering of genome-wide large deletions through an ensemble deep learning framework,Hu et al. 2022,2022,Methods,10.1016/j.ymeth.2022.08.001,1000G large deletions,Pileup image,Ensemble CNN,Large deletions,Illumina short-read,Ensembling improves DEL precision,Deletions only; ensemble cost,Fixed image; no multi-scale,Single unified multi-scale model
13,B,sv-channels: filtering genomic deletions using one-dimensional convolutional neural networks,Santuari et al. 2024,2024,bioRxiv (preprint),10.1101/2024.10.17.618894,"GIAB, 1000G",1-D per-position signal channels (depth/split/discordant),1-D CNN (sv-channels),Deletions,Illumina short-read,Lightweight 1-D encoding avoids RGB overhead; filters deletions,Deletions; filter-oriented,Fixed channels; single-scale,"Multi-scale, learnable 1-D encoding; more SV types"
14,B,An ensemble deep learning framework to refine large deletions in linked-reads,Hu et al. 2021,2021,2021 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),10.1109/bibm52615.2021.9669571,Linked-read data,Barcode/alignment features image,Ensemble deep learning,Large deletions,10x linked-reads,Uses linked-read barcodes for DEL refinement,Linked-read specific; refine only,Platform-specific,General learnable representation across platforms
15,B,MaxDEL: Accurate and Efficient Calling of Genomic Deletions fromSingle Molecular Real-time Sequencing Using Integrated Method,Yu et al. 2023,2023,Current Bioinformatics,10.2174/1574893618666230224160716,Single-molecule reads,Alignment features,ML/DL hybrid (MaxDEL),Deletions,Long-read,Efficient DEL calling from single-molecule reads,Deletions; long-read,Feature engineering,"Learnable representation, more SV types"
16,B,NPSV-deep: a deep learning method for genotyping structural variants in short read genome sequencing data,Linderman et al. 2024,2024,Bioinformatics,10.1093/bioinformatics/btae129,GIAB HG002-007,Simulated-read pileup image around candidate SV,CNN (NPSV-deep),SV genotyping (DEL/INS),Illumina short-read,Genotyping via in-silico simulation matching; short-read,Genotyping only (needs input calls); simulation cost,Fixed image; per-locus simulation,Discovery (not just genotyping); learnable representation
17,B,BreakNet: detecting deletions using long reads and a deep learning approach,Luo et al. 2021,2021,BMC Bioinformatics,10.1186/s12859-021-04499-5,HG002 GIAB,Read-alignment matrix from long reads,CNN + BiLSTM (BreakNet),Deletions,"ONT, PacBio",Combines CNN + sequence model for long-read DEL,Deletions only; long-read,Fixed window; supervised,Other SV types; short-read; attention
18,B,cnnLSV: detecting structural variants by encoding long-read alignment information and convolutional neural network,Ma et al. 2023,2023,BMC Bioinformatics,10.1186/s12859-023-05243-x,"HG002, simulated",Encoded long-read alignment image (multi-feature),CNN (cnnLSV),"DEL, INS, DUP, INV","PacBio, ONT",Multi-type SV from long reads; filters caller output,Long-read; depends on upstream callset,Fixed encoding,Short-read; end-to-end discovery
19,B,SVcnn: an accurate deep learning-based method for detecting structural variation based on long-read data,zheng & Shang 2023,2023,BMC Bioinformatics,10.1186/s12859-023-05324-x,"HG002, simulated",CIGAR/alignment-derived image,CNN (SVcnn),"DEL, INS, DUP, INV","PacBio, ONT",Accurate long-read multi-type SV,Long-read only,Fixed image; supervised,Short-read; representation learning
20,B,SVision: a deep learning approach to resolve complex structural variants,Lin et al. 2022,2022,Nature Methods,10.1038/s41592-022-01609-w,"HG002, simulated complex SV",Multi-channel similarity/CIGAR image from long reads,CNN + segmentation (SVision),"Complex SVs, DEL/INS/DUP/INV/translocation","PacBio, ONT",Resolves complex/nested SVs; graph-like output; image from long reads,Long-read only; needs high coverage,Image still hand-designed; supervised,Short-read complex-SV imaging; learnable encoding
21,B,De novo and somatic structural variant discovery with SVision-pro,Wang et al. 2024,2024,Nature Biotechnology,10.1038/s41587-024-02190-7,"HG002, tumor-normal",Comparative multi-channel image (case vs control),"CNN (SVision-pro), instance segmentation",Somatic/de novo complex SV,"PacBio, ONT",De novo & somatic complex SV; reference-free comparison,Long-read only; compute-heavy,Hand-designed comparative image,Somatic short-read learnable representation
22,B,Cue: a deep-learning framework for structural variant discovery and genotyping,Popic et al. 2023,2023,Nature Methods,10.1038/s41592-023-01799-x,"HG002, simulated",2D image: read features binned to genomic intervals,"CNN (stacked hourglass, keypoint detection)","DEL, DUP, INV, INS, translocation","Illumina, long-read",Multi-SV-type; single model; genotyping; image keypoints for breakpoints,Coarse binning loses base resolution,Fixed bin/window; encoding fixed,Adaptive/multi-scale binning; learnable encoding
23,B,SVHunter: long-read-based structural variation detection through the transformer model,Gao et al. 2025,2025,Briefings in Bioinformatics,10.1093/bib/bbaf203,"HG002, long-read benchmarks",Alignment signal sequence tokens,Transformer (SVHunter),"DEL, INS, DUP, INV","ONT, PacBio",Transformer attention over long-read signals; strong recall,Long-read; large model,Tokenization hand-designed; no pretraining,Short-read transformer; self-supervised pretraining
24,B,GKNnet: an relational graph convolutional network-based method with knowledge-augmented activation layer for microbial structural variation detection,Guo et al. 2025,2025,Briefings in Bioinformatics,10.1093/bib/bbaf200,Long-read SV benchmarks,Read/feature graph with knowledge features,Relational Graph Convolutional Network (GKNnet),SV detection/genotyping,Long-read,Graph representation of reads; knowledge-augmented,Long-read; graph construction hand-designed,Supervised; feature engineering in graph,Short-read GNN; learnable graph construction
25,B,CSV-Filter: a deep learning-based comprehensive structural variant filtering method for both short and long reads,Xia et al. 2024,2024,Bioinformatics,10.1093/bioinformatics/btae539,"HG002, long-read",Multi-type alignment image,CNN filter (CSV-Filter),SV filtering (all types),"PacBio, ONT",Reduces false positives across callers,Filter only; needs input calls,Fixed representation,End-to-end learnable discovery+filter
26,B,SVDF: enhancing structural variation detect from long-read sequencing via automatic filtering strategies,Hu et al. 2024,2024,Briefings in Bioinformatics,10.1093/bib/bbae336,Long-read SV sets,Alignment features + autoencoder embedding,Autoencoder + classifier (SVDF),SV filtering,"ONT, PacBio",Self-supervised autoencoder to filter SVs,Filter only; long-read,Not full discovery; supervised head,Self-supervised discovery on short read
27,B,Indel calling from ONT sequencing data of family trios via sparse attention and 3D convolution,Shi et al. 2025,2025,Briefings in Bioinformatics,10.1093/bib/bbaf430,ONT family trios,Alignment tokens with sparse attention,Sparse-attention Transformer,Indels (family trios),ONT,Sparse attention for long-context indel calling in trios,Indel/trio scope,Tokenization fixed; trio-specific,SV-scale sparse attention; short-read
28,B,Concod: an effective integration framework of consensus-based calling deletions from next-generation sequencing data,Cai et al. 2017,2017,Int. J. Data Mining and Bioinformatics,10.1504/ijdmb.2017.10005212,1000G,Manually selected consensus features,SVM (Concod),Deletions,Illumina short-read,Consensus-based ML DEL calling; DeepSV's ML baseline,Manual feature selection; SVM ceiling,Not deep; feature-limited,Superseded by deep learning; shows feature-engineering bottleneck
29,C,Long-read-based human genomic structural variation detection with cuteSV,Jiang et al. 2020,2020,Genome biology,10.1186/s13059-020-02107-y,"HG002, simulated",Alignment signatures (split/clip/depth),Heuristic clustering (cuteSV),"DEL, INS, DUP, INV, BND","ONT, PacBio","Fast, accurate long-read SV; widely used baseline",Not learning-based; parameter sensitive,Signature heuristics; no learning,Learning-based replacement of heuristics
30,C,Detection of mosaic and population-level structural variants with Sniffles2,Smolka et al. 2024,2024,Nature Biotechnology,10.1038/s41587-023-02024-y,"HG002, population, mosaic",Split/alignment signatures,Heuristic + Gaussian modeling (Sniffles2),All SV types incl. mosaic,"ONT, PacBio",Population & mosaic SV; scalable; standard baseline,Heuristic; not end-to-end learned,Manual signature model,Deep-learning mosaic/population SV
31,C,NanoVar: accurate characterization of patients’ genomic structural variants using low-depth nanopore sequencing,Tham et al. 2020,2020,Genome biology,10.1186/s13059-020-01968-7,"Patient genomes, simulated",Alignment signatures + small NN filter,Heuristic + shallow NN (NanoVar),All SV types,ONT low-depth,Low-depth nanopore SV; some NN filtering,Mostly heuristic,Shallow model,Deep representation learning
32,C,SVDSS: structural variation discovery in hard-to-call genomic regions using sample-specific strings from accurate long reads,Denti et al. 2022,2022,Nature Methods,10.1038/s41592-022-01674-1,"HG002, hard regions",Sample-specific strings (assembly-free),Specific String algorithm (SVDSS),"DEL, INS",PacBio HiFi,Hard-to-call regions; assembly-free,Not learning-based,"Algorithmic, no learning",Learning in hard/repetitive regions
33,C,Paragraph: a graph-based structural variant genotyper for short-read sequence data,Chen et al. 2019,2019,Genome biology,10.1186/s13059-019-1909-7,"1000G, GIAB",Graph alignment of reads to SV alleles,Graph genotyper (Paragraph),SV genotyping,Illumina short-read,Short-read graph genotyping of known SVs,Genotyping only; needs SV catalog,No discovery; no learning,Learnable graph discovery on short reads
34,C,Pangenomics enables genotyping of known structural variants in 5202 diverse genomes,Sirén et al. 2021,2021,Science,10.1126/science.abg8871,5202 genomes,Pangenome graph,PanGenie k-mer genotyper,SV genotyping,Illumina short-read,Population-scale pangenome genotyping,Genotyping only; catalog-dependent,No discovery; no deep learning,Deep pangenome-aware discovery
35,C,CNVkit: Genome-Wide Copy Number Detection and Visualization from Targeted DNA Sequencing,Talevich et al. 2016,2016,PLoS Computational Biology,10.1371/journal.pcbi.1004873,"Targeted panels, WGS",Read-depth bins,Statistical CBS (CNVkit),CNV / large DEL-DUP,Illumina,Standard CNV baseline; depth-based,CNV only; low breakpoint resolution,No learning; depth only,Deep multi-signal CNV
36,C,VolcanoSV enables accurate and robust structural variant calling in diploid genomes from single-molecule long read sequencing,Luo et al. 2024,2024,Nature Communications,10.1038/s41467-024-51282-0,"HG002, diploid",Phased assembly + alignment,Assembly-based (VolcanoSV),All SV types,PacBio HiFi,Accurate diploid SV via local assembly,Long-read; compute-heavy,Not learning-based,Learning + assembly hybrid
37,C,Deciphering the exact breakpoints of structural variations using long sequencing reads with DeBreak,Chen et al. 2023,2023,Nature Communications,10.1038/s41467-023-35996-1,"HG002, long-read",Long-read alignment at breakpoints,Algorithmic breakpoint refinement,SV breakpoints,"PacBio, ONT",Base-precise breakpoints from long reads,Long-read; not learning-based,Algorithmic,Learnable base-resolution breakpoints on short read
38,D,A robust benchmark for detection of germline large deletions and insertions,Zook et al. 2020,2020,Nature Biotechnology,10.1038/s41587-020-0538-8,HG002 GIAB Tier1,N/A,Benchmark truth set,"DEL, INS",Multi-platform,Gold-standard SV truth set for evaluation,Benchmark only,Limited to HG002,Reference truth for any new method
39,D,Comprehensive evaluation of structural variation detection algorithms for whole genome sequencing,Kosugi et al. 2019,2019,Genome biology,10.1186/s13059-019-1720-5,"GIAB, simulated benchmark",N/A,Benchmark of 69 callers,All SV,Short-read,Comprehensive benchmark; shows no caller dominates,No new method,—,Motivates ensemble/learning approaches
40,D,Multi-platform discovery of haplotype-resolved structural variation in human genomes,Chaisson et al. 2019,2019,Nature Communications,10.1038/s41467-018-08148-z,HGSVC (9 genomes),Multi-platform integration,Ensemble of callers,All SV,"Illumina, PacBio, Strand-seq",Haplotype-resolved multi-platform SV resource,No learning method,—,Rich multi-modal training data source
41,D,Haplotype-resolved diverse human genomes and integrated analysis of structural variation,Ebert et al. 2021,2021,Science,10.1126/science.abf7117,HGSVC 64 haplotypes,Multi-platform,Ensemble/assembly,All SV,Multi-platform,Diverse haplotype-resolved SV catalog,No learning method,—,Diverse ground-truth for training
42,D,Comprehensive evaluation of structural variant genotyping methods based on long-read sequencing data,Duan et al. 2022,2022,BMC Genomics,10.1186/s12864-022-08548-y,"HG002, long-read",N/A,Benchmark of genotypers,SV genotyping,Long-read,Evaluates SV genotyping methods,Benchmark only,—,Genotyping accuracy gap
43,E,Structural variant calling: the long and the short of it,Mahmoud et al. 2019,2019,Genome biology,10.1186/s13059-019-1828-7,Review,N/A,N/A (review),All SV,Short & long read,Authoritative review of short vs long read SV tradeoffs,No new method,—,Frames the short-read sensitivity gap
44,E,Variant calling and benchmarking in an era of complete human genome sequences,Olson et al. 2023,2023,Nature Reviews Genetics,10.1038/s41576-023-00590-0,"Review, T2T era",N/A,Review,All variants,All platforms,Reviews benchmarking with complete genomes,No new method,—,Highlights evaluation gaps in hard regions
45,E,A survey of algorithms for the detection of genomic structural variants from long-read sequencing data,Ahsan et al. 2023,2023,Nature Methods,10.1038/s41592-023-01932-w,Survey,N/A,Survey of long-read SV algorithms,All SV,Long-read,Systematic survey of long-read SV methods,No new method,—,Maps current algorithmic landscape/gaps
46,E,Tradeoffs in alignment and assembly-based methods for structural variant detection with long-read sequencing data,Liu et al. 2024,2024,Nature Communications,10.1038/s41467-024-46614-z,"HG002, assemblies",N/A,Comparison of alignment vs assembly,All SV,Long-read,Quantifies alignment vs assembly tradeoffs,No new method,—,Motivates hybrid representations
47,E,Structural variant detection in cancer genomes: computational challenges and perspectives for precision oncology,Belzen et al. 2021,2021,npj Precision Oncology,10.1038/s41698-021-00155-6,Cancer genomes review,N/A,Review,Somatic SV,Short & long read,Reviews somatic SV computational challenges,No new method,—,Somatic SV detection under-served by DL
48,E,A review of deep learning applications in human genomics using next-generation sequencing data,Alharbi & Rashid 2022,2022,Human Genomics,10.1186/s40246-022-00396-x,Review,N/A,Review of DL in genomics,All variants,NGS,Broad DL-in-genomics review,No new method,—,Identifies SV-DL as immature area
49,E,A comprehensive review of deep learning-based variant calling methods,Junjun et al. 2024,2024,Briefings in Functional Genomics,10.1093/bfgp/elae003,Review,N/A,Review of DL variant callers,SNV/indel/SV,All,Focused review of DL variant calling,No new method,—,Notes scarcity of end-to-end DL SV callers
50,E,Deep learning: new computational modelling techniques for genomics,Eraslan et al. 2019,2019,Nature Reviews Genetics,10.1038/s41576-019-0122-6,Review (Eraslan),N/A,Review of DL architectures,N/A,N/A,Canonical DL-genomics methods review,No new method,—,Architectural playbook for genomics
51,E,A primer on deep learning in genomics,Zou et al. 2018,2018,Nature Genetics,10.1038/s41588-018-0295-5,Primer,N/A,Tutorial/primer,N/A,N/A,Accessible DL genomics primer,No new method,—,Foundational reference
52,E,Transformer Architecture and Attention Mechanisms in Genome Data Analysis: A Comprehensive Review,Choi & Lee 2023,2023,Biology,10.3390/biology12071033,Review,N/A,Review of transformers/attention in genomics,N/A,All,Surveys attention/transformer use in genomics,No new method,—,Shows transformers underused for SV
53,F,DNABERT: pre-trained Bidirectional Encoder Representations from Transformers model for DNA-language in genome,Ji et al. 2021,2021,Bioinformatics,10.1093/bioinformatics/btab083,Human genome,k-mer tokenized DNA,BERT Transformer (DNABERT),N/A (representation),Reference sequence,First DNA BERT; transferable embeddings,No SV task; k-mer tokenization,Short context (512),DNA-LM embeddings for SV unexplored
54,F,DNABERT-2: Efficient Foundation Model and Benchmark For Multi-Species Genome,Zhou et al. 2023,2023,arXiv (Cornell University),10.48550/arxiv.2306.15006,Multi-species genomes,BPE tokenized DNA,Transformer (DNABERT-2),N/A,Reference,Efficient multi-species DNA LM,No SV task,Sequence-only (no alignment),Alignment-aware DNA-LM for SV
55,F,Nucleotide Transformer: building and evaluating robust foundation models for human genomics,Dalla-Torre et al. 2024,2024,Nature Methods,10.1038/s41592-024-02523-z,"3202 genomes, multi-species",Tokenized DNA,Transformer foundation model (Nucleotide Transformer),N/A,Reference,Robust genomic foundation embeddings; benchmarked,No SV/alignment task,Reference-sequence only,Read-level foundation embeddings for SV
56,F,DNA language models are powerful predictors of genome-wide variant effects,Benegas et al. 2023,2023,Proceedings of the National Academy of Sciences,10.1073/pnas.2311219120,"Arabidopsis, human",DNA sequence,Convolutional LM (GPN),Variant effect (SNV),Reference,Unsupervised variant-effect prediction,"SNV effects, not SV discovery",Sequence-only,SV effect/discovery via LM
57,F,Genomic language models: opportunities and challenges,Benegas et al. 2025,2025,Trends in Genetics,10.1016/j.tig.2024.11.013,Review,N/A,Review of genomic LMs,N/A,N/A,Reviews opportunities/challenges of genomic LMs,No new method,—,"Notes LMs largely reference-only, not alignment-aware"
58,F,Evaluating the representational power of pre-trained DNA language models for regulatory genomics,Tang et al. 2025,2025,Genome biology,10.1186/s13059-025-03674-8,Regulatory benchmarks,DNA sequence,Eval of pre-trained DNA LMs,N/A,Reference,Critically evaluates DNA-LM representational power,Eval only; regulatory focus,—,Cautions on DNA-LM utility; motivates task-specific models
59,F,Mamba: Linear-Time Sequence Modeling with Selective State Spaces,Gu & Dao 2023,2023,arXiv (Cornell University),10.48550/arxiv.2312.00752,LM/genomics benchmarks,Sequence tokens,Selective State Space Model (Mamba),N/A,N/A,Linear-time long-sequence modeling; SSM backbone,"General ML, not SV",Not applied to SV,Mamba/SSM for read-alignment SV modeling
60,F,Predicting effects of noncoding variants with deep learning–based sequence model,Zhou & Troyanskaya 2015,2015,Nature Methods,10.1038/nmeth.3547,"ENCODE, Roadmap",One-hot DNA sequence,Deep CNN (DeepSEA),Noncoding variant effect,Reference,Landmark sequence-to-chromatin CNN,"Regulatory, not SV",Sequence-only,—
61,F,Predicting the sequence specificities of DNA- and RNA-binding proteins by deep learning,Alipanahi et al. 2015,2015,Nature Biotechnology,10.1038/nbt.3300,Protein/DNA binding data,One-hot sequence,CNN (DeepBind),Binding specificity,Reference,Pioneering genomics CNN,Not variant calling,—,—
62,F,Basset: learning the regulatory code of the accessible genome with deep convolutional neural networks,Kelley et al. 2016,2016,Genome Research,10.1101/gr.200535.115,ENCODE DNase,One-hot sequence,CNN (Basset),Accessibility,Reference,Learns regulatory code with CNN,Not SV,—,—
